timestamp,unit_of_measure,reading_status,value,status,T_cons,_last_updated_utc,calculated,metering_point_id,property,old_timestamp,labels,consumption,temperature,model,larm
2020-08-02 00:00:00+00:00,MWh,measured,391.106,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-02T00:00:00Z', 'to': '2020-08-03T00:00:00Z', 'value': 2.2199999999999704}",2021-09-09T14:31:41.603000Z,"{'value': 1.5671128964461465, 'normalized_value': 0.4166177848669503, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': 1.7760719185}}",TDS15,energy,2020-08-03T00:00:00Z,,2.2199999999999704,1.7760719185,1.746599823659182,False
2020-08-03 00:00:00+00:00,MWh,measured,393.581,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-03T00:00:00Z', 'to': '2020-08-04T00:00:00Z', 'value': 2.4750000000000227}",2021-09-09T14:31:41.605000Z,"{'value': 1.704134809500533, 'normalized_value': 0.4523498881672533, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': 0.6343936641}}",TDS15,energy,2020-08-04T00:00:00Z,,2.4750000000000227,0.6343936641,2.0527938319047756,False
2020-08-04 00:00:00+00:00,MWh,measured,396.16,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-04T00:00:00Z', 'to': '2020-08-05T00:00:00Z', 'value': 2.5790000000000077}",2021-09-09T14:31:41.607000Z,"{'value': 1.8548021004783053, 'normalized_value': 0.390444834699589, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': -0.6209790418}}",TDS15,energy,2020-08-05T00:00:00Z,,2.5790000000000077,-0.6209790418,2.2156166785326565,False
2020-08-05 00:00:00+00:00,MWh,measured,398.68,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-05T00:00:00Z', 'to': '2020-08-06T00:00:00Z', 'value': 2.519999999999982}",2021-09-09T14:31:41.609000Z,"{'value': 1.809237304691952, 'normalized_value': 0.3928521114752534, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': -0.241329281}}",TDS15,energy,2020-08-06T00:00:00Z,,2.519999999999982,-0.241329281,2.192093409346432,False
2020-08-06 00:00:00+00:00,MWh,measured,401.075,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-06T00:00:00Z', 'to': '2020-08-07T00:00:00Z', 'value': 2.394999999999982}",2021-09-09T14:31:41.611000Z,"{'value': 1.7921718380150422, 'normalized_value': 0.3363673891074054, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': -0.0991383586}}",TDS15,energy,2020-08-07T00:00:00Z,,2.394999999999982,-0.0991383586,2.1804807872182383,False
2020-08-07 00:00:00+00:00,MWh,measured,403.155,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-07T00:00:00Z', 'to': '2020-08-08T00:00:00Z', 'value': 2.079999999999984}",2021-09-09T14:31:41.612000Z,"{'value': 1.7094560734235307, 'normalized_value': 0.21676130339773192, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': 0.5900564397}}",TDS15,energy,2020-08-08T00:00:00Z,,2.079999999999984,0.5900564397,2.0689700632836163,False
2020-08-08 00:00:00+00:00,MWh,measured,405.837,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-08T00:00:00Z', 'to': '2020-08-09T00:00:00Z', 'value': 2.6820000000000164}",2021-09-09T14:31:41.614000Z,"{'value': 1.8907894007584212, 'normalized_value': 0.4184551695309007, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': -0.920828294}}",TDS15,energy,2020-08-09T00:00:00Z,,2.6820000000000164,-0.920828294,2.2264017289764313,False
2020-08-09 00:00:00+00:00,MWh,measured,408.447,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-09T00:00:00Z', 'to': '2020-08-10T00:00:00Z', 'value': 2.6100000000000136}",2021-09-09T14:31:41.616000Z,"{'value': 2.0274282976863733, 'normalized_value': 0.28734515690564727, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': -2.0593152254}}",TDS15,energy,2020-08-10T00:00:00Z,,2.6100000000000136,-2.0593152254,2.3068009701092875,False
2020-08-10 00:00:00+00:00,MWh,measured,409.767,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-10T00:00:00Z', 'to': '2020-08-11T00:00:00Z', 'value': 1.3199999999999932}",2021-09-09T14:31:41.618000Z,"{'value': 1.5053735148017804, 'normalized_value': 0.12314120912788626, 'deviation_type': 'smaller', 'deviation_level': 'ok', 'weather_data': {'outdoor_temperature': 2.2581599876}}",TDS15,energy,2020-08-11T00:00:00Z,,1.3199999999999932,2.2581599876,1.6638890837810867,False
2020-08-11 00:00:00+00:00,MWh,measured,411.15,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-11T00:00:00Z', 'to': '2020-08-12T00:00:00Z', 'value': 1.3829999999999814}",2021-09-09T14:31:41.620000Z,"{'value': 1.5901593856017255, 'normalized_value': 0.13027586258175866, 'deviation_type': 'smaller', 'deviation_level': 'ok', 'weather_data': {'outdoor_temperature': 1.5840466072}}",TDS15,energy,2020-08-12T00:00:00Z,,1.3829999999999814,1.5840466072,1.8079813987425521,False
2020-08-12 00:00:00+00:00,MWh,measured,413.094,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-12T00:00:00Z', 'to': '2020-08-13T00:00:00Z', 'value': 1.9440000000000168}",2021-09-09T14:31:41.621000Z,"{'value': 1.6847557580452919, 'normalized_value': 0.1538764540300539, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': 0.795861572}}",TDS15,energy,2020-08-13T00:00:00Z,,1.9440000000000168,0.795861572,2.0192838033608647,False
2020-08-13 00:00:00+00:00,MWh,measured,415.225,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-13T00:00:00Z', 'to': '2020-08-14T00:00:00Z', 'value': 2.1310000000000286}",2021-09-09T14:31:41.623000Z,"{'value': 1.9395850908216001, 'normalized_value': 0.09868858555586543, 'deviation_type': 'larger', 'deviation_level': 'ok', 'weather_data': {'outdoor_temperature': -1.3273981412}}",TDS15,energy,2020-08-14T00:00:00Z,,2.1310000000000286,-1.3273981412,2.2539809713959738,False
2020-08-14 00:00:00+00:00,MWh,measured,417.236,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-14T00:00:00Z', 'to': '2020-08-15T00:00:00Z', 'value': 2.0109999999999673}",2021-09-09T14:31:41.626000Z,"{'value': 2.0375918473051624, 'normalized_value': 0.013050625099606902, 'deviation_type': 'smaller', 'deviation_level': 'ok', 'weather_data': {'outdoor_temperature': -2.1439987868}}",TDS15,energy,2020-08-15T00:00:00Z,,2.0109999999999673,-2.1439987868,2.329945471689867,False
2020-08-15 00:00:00+00:00,MWh,measured,419.705,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-15T00:00:00Z', 'to': '2020-08-16T00:00:00Z', 'value': 2.468999999999994}",2021-09-09T14:31:41.630000Z,"{'value': 2.1168747362719893, 'normalized_value': 0.166342040789872, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': -2.8045905729}}",TDS15,energy,2020-08-16T00:00:00Z,,2.468999999999994,-2.8045905729,2.4386908709880313,False
2020-08-16 00:00:00+00:00,MWh,measured,421.295,"[{'key': 'calculate_consuming_values', 'val': 'calculate_consuming_values_ok'}, {'key': 'validate_simple_status', 'val': 'validate_simple_ok'}, {'key': 'validate_advanced_status', 'val': 'validate_advanced_ok'}]","{'from': '2020-08-16T00:00:00Z', 'to': '2020-08-17T00:00:00Z', 'value': 1.5900000000000318}",2021-09-09T14:31:41.632000Z,"{'value': 1.064949259840267, 'normalized_value': 0.49302887936512374, 'deviation_type': 'larger', 'deviation_level': 'critical', 'weather_data': {'outdoor_temperature': 5.519402643}}",TDS15,energy,2020-08-17T00:00:00Z,,1.5900000000000318,5.519402643,1.2547005387906545,False
